"DiM","현재 디지몬","현재 세대","속성","진화 대상","목표 세대","진화 시간","필요 바이탈","필요 PP","배틀 횟수","필요 승률(%)","던전 ★★★","조그레스","필요 아이템/캡슐","비고"
"에인션트 워리어즈(브이몬)","디지타몬","완전체","DATA","매그너몬","궁극체","48시간","4500","10","120","50%","-","-","",""
"에인션트 워리어즈(브이몬)","디지타몬","완전체","DATA","알포스브이드라몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"에인션트 워리어즈(브이몬)","골드브이드라몬","완전체","VACCINE","매그너몬","궁극체","48시간","4500","10","120","50%","-","-","",""
"에인션트 워리어즈(브이몬)","에어로브이드라몬","완전체","VACCINE","알포스브이드라몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"에인션트 워리어즈(브이몬)","알포스브이드라몬","궁극체","VACCINE","알포스브이드라몬(X항체)","초궁극체","-","8000","30","320","70%","","-","X항체",""
"에인션트 워리어즈(브이몬)","매그너몬","궁극체","FREE","매그너몬(X항체)","초궁극체","-","8000","30","320","70%","-","-","X항체",""
"에인션트 워리어즈(브이몬)","파일드라몬","완전체","FREE","황제드라몬: 드래곤 모드","궁극체","48시간","4500","15","120","70%","-","-","-",""
"에인션트 워리어즈(브이몬)","황제드라몬: 드래곤 모드","궁극체","FREE","황제드라몬: 파이터 모드","초궁극체","3시간","7000","25","240","70%","던전 ★★★","-","-",""
"에인션트 워리어즈(브이몬)","황제드라몬: 파이터 모드","초궁극체","FREE","황제드라몬: 팔라딘 모드","초궁극체II","-","8000","30","320","70%","-","오메가몬","-",""
"에인션트 워리어즈(브이몬)","사수몬","완전체","FREE","매그너몬","궁극체","48시간","4500","10","120","50%","-","-","",""
"에인션트 워리어즈(브이몬)","사수몬","완전체","FREE","알포스브이드라몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"에인션트 워리어즈(브이몬)","브이몬","성장기","FREE","매그너몬","궁극체","48시간","4500","10","120","50%","-","-","",""
"에인션트 워리어즈(브이몬)","브이몬","성장기","FREE","사수몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","슬레이어드라몬","궁극체","VACCINE","엑자몬","초궁극체","-","","30","320","70%","-","슬레이어드라몬,브레이크드라몬","-",""
"드라코닉 블레이즈(드라코몬)🚧","브레이크드라몬","궁극체","VIRUS","엑자몬","초궁극체","-","","30","320","70%","-","슬레이어드라몬,브레이크드라몬","-",""
"드라코닉 블레이즈(드라코몬)🚧","쁘띠몬 알","디지타마","VACCINE","쁘띠몬","유년기 I","1시간","","","","","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","쁘띠몬","유년기 I","VACCINE","베이비드몬","유년기 II","1시간","","","","","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","베이비드몬","유년기 II","VACCINE","드라코몬","성장기","1시간","","","","","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","드라코몬","성장기","DATA","코어드라몬(청)","성숙기","24시간","900","8","30","","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","드라코몬","성장기","DATA","코어드라몬(녹)","성숙기","24시간","","","","","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","드라코몬","성장기","DATA","다크티라노몬","성숙기","24시간","1300","10","48","","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","드라코몬","성장기","DATA","태스크몬","성숙기","24시간","600","5","18","","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","코어드라몬(청)","성숙기","VACCINE","윙드라몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","코어드라몬(청)","성숙기","VACCINE","메가드라몬","완전체","36시간","","","","","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","코어드라몬(청)","성숙기","VACCINE","기가드라몬","완전체","36시간","","","","","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","코어드라몬(녹)","성숙기","VIRUS","윙드라몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","코어드라몬(녹)","성숙기","VIRUS","메가드라몬","완전체","36시간","","","","","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","코어드라몬(녹)","성숙기","VIRUS","그라운드라몬","완전체","36시간","","","","","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","다크티라노몬","성숙기","VIRUS","기가드라몬","완전체","36시간","","","","","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","다크티라노몬","성숙기","VIRUS","메탈티라노몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","다크티라노몬","성숙기","VIRUS","키메라몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","태스크몬","성숙기","VIRUS","그라운드라몬","완전체","36시간","","","","","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","태스크몬","성숙기","VIRUS","메탈티라노몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","태스크몬","성숙기","VIRUS","키메라몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","윙드라몬","완전체","VACCINE","슬레이어드라몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","윙드라몬","완전체","VACCINE","브레이크드라몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","메가드라몬","완전체","VIRUS","브레이크드라몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","메가드라몬","완전체","VIRUS","다크드라몬","궁극체","48시간","","","","","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","그라운드라몬","완전체","VIRUS","슬레이어드라몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","그라운드라몬","완전체","VIRUS","얼티메이트브라키몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","기가드라몬","완전체","VIRUS","다크드라몬","궁극체","48시간","","","","","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","기가드라몬","완전체","VIRUS","슬레이어드라몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","메탈티라노몬","완전체","VIRUS","얼티메이트브라키몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","메탈티라노몬","완전체","VIRUS","브레이크드라몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","키메라몬","완전체","DATA","얼티메이트브라키몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"드라코닉 블레이즈(드라코몬)🚧","키메라몬","완전체","DATA","다크드라몬","궁극체","48시간","","","","","-","-","-",""
"즈바몬🚧","사쿠몬 알","디지타마","VACCINE","사쿠몬","유년기 I","1시간","","","","","-","-","-",""
"즈바몬🚧","사쿠몬","유년기 I","VACCINE","사쿳토몬","유년기 II","1시간","","","","","-","-","-",""
"즈바몬🚧","사쿳토몬","유년기 II","VACCINE","즈바몬","성장기","1시간","","","","","-","-","-",""
"즈바몬🚧","사쿳토몬","유년기 II","VACCINE","헉몬","성장기","1시간","","","","","-","-","-",""
"즈바몬🚧","즈바몬","성장기","VACCINE","즈바이거몬","성숙기","24시간","1300","10","48","","-","-","-",""
"즈바몬🚧","즈바몬","성장기","VACCINE","스타몬","성숙기","24시간","900","8","30","","-","-","-",""
"즈바몬🚧","즈바몬","성장기","VACCINE","스파이더몬","성숙기","24시간","","","","","-","-","-",""
"즈바몬🚧","헉몬","성장기","DATA","스타몬","성숙기","24시간","900","8","30","","-","-","-",""
"즈바몬🚧","헉몬","성장기","DATA","스파이더몬","성숙기","24시간","","","","","-","-","-",""
"즈바몬🚧","헉몬","성장기","DATA","바오헉몬","성숙기","24시간","1300","10","48","","-","-","-",""
"즈바몬🚧","즈바이거몬","성숙기","VACCINE","듀라몬","완전체","36시간","3000","20","120","70%","-","-","-",""
"즈바몬🚧","즈바이거몬","성숙기","VACCINE","슈퍼스타몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"즈바몬🚧","스타몬","성숙기","DATA","듀라몬","완전체","36시간","3000","20","120","70%","-","-","-",""
"즈바몬🚧","스타몬","성숙기","DATA","세이버헉몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"즈바몬🚧","스타몬","성숙기","DATA","퍼펫몬","완전체","36시간","","","","","-","-","-",""
"즈바몬🚧","스파이더몬","성숙기","VIRUS","슈퍼스타몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"즈바몬🚧","스파이더몬","성숙기","VIRUS","퍼펫몬","완전체","36시간","","","","","-","-","-",""
"즈바몬🚧","스파이더몬","성숙기","VIRUS","다크슈퍼스타몬","완전체","36시간","","","","","-","-","-",""
"즈바몬🚧","바오헉몬","성숙기","DATA","다크슈퍼스타몬","완전체","36시간","","","","","-","-","-",""
"즈바몬🚧","바오헉몬","성숙기","DATA","세이버헉몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"즈바몬🚧","듀라몬","완전체","VACCINE","듀란다몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"즈바몬🚧","듀라몬","완전체","VACCINE","제스몬","궁극체","48시간","7000","20","200","70%","던전 ★★★","-","-",""
"즈바몬🚧","듀란다몬","궁극체","VACCINE","라그나로드몬","초궁극체","-","8000","30","320","70%","-","브리웨루드라몬","-",""
"즈바몬🚧","세이버헉몬","완전체","DATA","듀란다몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"즈바몬🚧","세이버헉몬","완전체","DATA","제스몬","궁극체","48시간","7000","20","200","70%","던전 ★★★","-","-",""
"즈바몬🚧","슈퍼스타몬","완전체","DATA","신퍼펫몬","궁극체","48시간","","","","","-","-","-",""
"즈바몬🚧","퍼펫몬","완전체","VACCINE","신퍼펫몬","궁극체","48시간","","","","","-","-","-",""
"즈바몬🚧","다크슈퍼스타몬","완전체","VIRUS","신퍼펫몬","궁극체","48시간","","","","","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","잎새몬알","디지타마","VACCINE","잎새몬","유년기 I","1시간","","","","","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","잎새몬","유년기 I","VACCINE","데롱몬","유년기 II","1시간","","","","","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","데롱몬","유년기 II","VACCINE","추추몬","성장기","1시간","","","","","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","추추몬","성장기","FREE","스팅몬","성숙기","24시간","1300","10","48","","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","추추몬","성장기","FREE","샤드라몬","성숙기","24시간","900","8","30","","-","-","용기의 캡슐",""
"프라이미벌 워리어즈(추추몬)🚧","추추몬","성장기","FREE","후디에몬","성숙기","24시간","600","5","18","","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","추추몬","성장기","FREE","고키몬","성숙기","24시간","","","","","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","그랜쿠가몬","궁극체","FREE","그랑디스쿠가몬","초궁극체","-","","","","","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","그랜쿠가몬","궁극체","FREE","타이런트캅테리몬","초궁극체","-","","","","","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","추추몬","성장기","FREE","푸치몬","완전체","36시간","","","","","-","-","",""
"프라이미벌 워리어즈(추추몬)🚧","샤드라몬","성숙기","FREE","콩고몬","완전체","36시간","","","","","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","샤드라몬","성숙기","FREE","푸치몬","완전체","36시간","","","","","-","-","",""
"프라이미벌 워리어즈(추추몬)🚧","스팅몬","성숙기","FREE","주엘비몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","스팅몬","성숙기","FREE","푸치몬(녹)","완전체","36시간","2000","8","80","50%","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","스팅몬","성숙기","FREE","다이노몬","완전체","36시간","2500","10","80","50%","-","엑스브이몬","-",""
"프라이미벌 워리어즈(추추몬)🚧","추추몬","성장기","FREE","콩고몬","완전체","36시간","","","","","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","푸치몬","완전체","FREE","반쵸스팅몬","궁극체","48시간","","","","","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","콩고몬","완전체","FREE","타이거베스파몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","주엘비몬","완전체","VACCINE","반쵸스팅몬","궁극체","48시간","","","","","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","주엘비몬","완전체","VACCINE","타이거베스파몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","푸치몬(녹)","완전체","FREE","타이거베스파몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","다이노몬","완전체","FREE","그랜쿠가몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","후디에몬","성숙기","FREE","주엘비몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","후디에몬","성숙기","FREE","푸치몬(녹)","완전체","36시간","2000","8","80","50%","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","고키몬","성숙기","VIRUS","푸치몬(녹)","완전체","36시간","2000","8","80","50%","-","-","-",""
"프라이미벌 워리어즈(추추몬)🚧","고키몬","성숙기","VIRUS","콩고몬","완전체","36시간","","","","","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","키몬 알","디지타마","VACCINE","키몬","유년기 I","1시간","","","","","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","키몬","유년기 I","VACCINE","야몬","유년기 II","1시간","","","","","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","야몬","유년기 II","VACCINE","임프몬","성장기","1시간","","","","","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","임프몬","성장기","VIRUS","블랙버드라몬","성숙기","24시간","1300","10","48","","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","임프몬","성장기","VIRUS","데블몬","성숙기","24시간","600","5","18","","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","임프몬","성장기","VIRUS","고스몬","성숙기","24시간","","","","","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","임프몬","성장기","VIRUS","위자몬","성숙기","24시간","900","8","30","","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","블랙버드라몬","성숙기","VACCINE","사이버드라몬(2010)","완전체","36시간","","","","","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","블랙버드라몬","성숙기","VACCINE","팬텀몬","완전체","36시간","","","","","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","블랙버드라몬","성숙기","VACCINE","묘티스몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","데블몬","성숙기","VIRUS","묘티스몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","데블몬","성숙기","VIRUS","바알몬","완전체","36시간","3000","12","120","80%","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","데블몬","성숙기","VIRUS","조커몬","완전체","36시간","2000","8","80","50%","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","고스몬","성숙기","VIRUS","펌프몬","완전체","36시간","2000","8","80","50%","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","고스몬","성숙기","VIRUS","사이버드라몬(2010)","완전체","36시간","","","","","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","고스몬","성숙기","VIRUS","팬텀몬","완전체","36시간","","","","","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","위자몬","성숙기","DATA","조커몬","완전체","36시간","2000","8","80","50%","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","위자몬","성숙기","DATA","펌프몬","완전체","36시간","2000","8","80","50%","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","위자몬","성숙기","DATA","바알몬","완전체","36시간","3000","12","120","80%","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","사이버드라몬(2010)","완전체","VACCINE","네오묘티스몬","궁극체","48시간","1200","8","","","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","사이버드라몬(2010)","완전체","VACCINE","베르제브몬(2010)","궁극체","48시간","","","","","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","팬텀몬","완전체","VIRUS","노블펌프몬","궁극체","48시간","4500","10","120","50%","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","팬텀몬","완전체","VIRUS","네오묘티스몬","궁극체","48시간","1200","8","","","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","묘티스몬","완전체","VIRUS","네오묘티스몬","궁극체","48시간","1200","8","","","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","묘티스몬","완전체","VIRUS","피에몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","바알몬","완전체","FREE","노블펌프몬","궁극체","48시간","4500","10","120","50%","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","바알몬","완전체","FREE","베르제브몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","펌프몬","완전체","DATA","피에몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","펌프몬","완전체","DATA","노블펌프몬","궁극체","48시간","4500","10","120","50%","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","조커몬","완전체","VIRUS","피에몬","궁극체","48시간","5000","20","160","70%","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","조커몬","완전체","VIRUS","베르스타몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"다이너스티 오브 디 이블(임프몬)🚧","베르제브몬","궁극체","VIRUS","베르제브몬: 블래스트 모드","초궁극체","-","8000","30","320","70%","-","-","장난감총",""
"홀리 윙(파닥몬/럭스몬)","포요몬 알","디지타마","VACCINE","포요몬","유년기 I","1시간","","","","","-","-","-",""
"홀리 윙(파닥몬/럭스몬)","포요몬","유년기 I","VACCINE","토코몬","유년기 II","1시간","","","","","-","-","-",""
"홀리 윙(파닥몬/럭스몬)","토코몬","유년기 II","VACCINE","파닥몬","성장기","1시간","","","","","-","-","-",""
"홀리 윙(파닥몬/럭스몬)","토코몬","유년기 II","VACCINE","럭스몬","성장기","1시간","","","","","-","-","-",""
"홀리 윙(파닥몬/럭스몬)","파닥몬","성장기","DATA","엔젤몬","성숙기","24시간","1300","10","48","","","","",""
"홀리 윙(파닥몬/럭스몬)","파닥몬","성장기","DATA","페가수스몬","성숙기","24시간","900","8","30","","","","희망의 캡슐",""
"홀리 윙(파닥몬/럭스몬)","파닥몬","성장기","DATA","피드몬","성숙기","24시간","600","5","18","","","","",""
"홀리 윙(파닥몬/럭스몬)","럭스몬","성장기","VACCINE","엔젤몬","성숙기","24시간","1300","10","48","","","","",""
"홀리 윙(파닥몬/럭스몬)","럭스몬","성장기","VACCINE","피드몬","성숙기","24시간","600","5","18","","","","",""
"홀리 윙(파닥몬/럭스몬)","럭스몬","성장기","VACCINE","시취에몬","성숙기","24시간","900","8","30","","","","",""
"홀리 윙(파닥몬/럭스몬)","엔젤몬","성숙기","VACCINE","홀리엔젤몬","완전체","36시간","3000","12","120","70%","","","",""
"홀리 윙(파닥몬/럭스몬)","엔젤몬","성숙기","VACCINE","아르케엔젤몬","완전체","36시간","3000","12","120","70%","","","",""
"홀리 윙(파닥몬/럭스몬)","페가수스몬","성숙기","FREE","아르케엔젤몬","완전체","36시간","3000","12","120","70%","","","",""
"홀리 윙(파닥몬/럭스몬)","페가수스몬","성숙기","FREE","치린몬","완전체","36시간","3000","12","120","70%","","","",""
"홀리 윙(파닥몬/럭스몬)","페가수스몬","성숙기","FREE","히포그리포몬","완전체","36시간","2000","8","80","50%","","","",""
"홀리 윙(파닥몬/럭스몬)","피드몬","성숙기","VACCINE","홀리엔젤몬","완전체","36시간","3000","12","120","70%","","","",""
"홀리 윙(파닥몬/럭스몬)","피드몬","성숙기","VACCINE","만티코어몬","완전체","36시간","2500","10","80","50%","","","",""
"홀리 윙(파닥몬/럭스몬)","피드몬","성숙기","VACCINE","히포그리포몬","완전체","36시간","2000","8","80","50%","","","",""
"홀리 윙(파닥몬/럭스몬)","시취에몬","성숙기","VACCINE","치린몬","완전체","36시간","3000","12","120","70%","","","",""
"홀리 윙(파닥몬/럭스몬)","시취에몬","성숙기","VACCINE","만티코어몬","완전체","36시간","2500","10","80","50%","","","",""
"홀리 윙(파닥몬/럭스몬)","홀리엔젤몬","완전체","VACCINE","도미니몬","궁극체","48시간","4500","15","120","70%","","","",""
"홀리 윙(파닥몬/럭스몬)","홀리엔젤몬","완전체","VACCINE","세라피몬","궁극체","48시간","5000","20","160","70%","","","",""
"홀리 윙(파닥몬/럭스몬)","아르케엔젤몬","완전체","VACCINE","세라피몬","궁극체","48시간","5000","20","160","70%","","","",""
"홀리 윙(파닥몬/럭스몬)","아르케엔젤몬","완전체","VACCINE","슬래쉬엔젤몬","궁극체","48시간","4500","15","120","70%","","","",""
"홀리 윙(파닥몬/럭스몬)","만티코어몬","완전체","VIRUS","슬래쉬엔젤몬","궁극체","48시간","4500","15","120","70%","","","",""
"홀리 윙(파닥몬/럭스몬)","치린몬","완전체","VACCINE","도미니몬","궁극체","48시간","4500","15","120","70%","","","",""
"홀리 윙(파닥몬/럭스몬)","치린몬","완전체","VACCINE","샹펑몬","궁극체","48시간","5000","20","160","70%","","","",""
"홀리 윙(파닥몬/럭스몬)","히포그리포몬","완전체","DATA","샹펑몬","궁극체","48시간","5000","20","160","70%","","","",""
"홀리 윙(파닥몬/럭스몬)","도미니몬","궁극체","VACCINE","샤카몬","초궁극체","-","8000","30","320","70%","던전 ★★★","도미니몬,샹펑몬","",""
"홀리 윙(파닥몬/럭스몬)","샹펑몬","궁극체","VACCINE","샤카몬","초궁극체","-","8000","30","320","70%","던전 ★★★","도미니몬,샹펑몬","",""
"레베몬 EX🚧","포포몬 알","디지타마","VACCINE","포포몬","유년기 I","1시간","","","","","-","-","-",""
"레베몬 EX🚧","포포몬","유년기 I","VACCINE","프리몬","유년기 II","1시간","","","","","-","-","-",""
"레베몬 EX🚧","프리몬","유년기 II","VACCINE","레오르몬","성장기","1시간","","","","","-","-","-",""
"레베몬 EX🚧","프리몬","유년기 II","VACCINE","가지몬","성장기","1시간","","","","","-","-","-",""
"레베몬 EX🚧","레오르몬","성장기","VACCINE","레베몬","성숙기","24시간","","","","","","","",""
"레베몬 EX🚧","레오르몬","성장기","VACCINE","라이아몬","성숙기","24시간","","","","","","","",""
"레베몬 EX🚧","가지몬","성장기","VIRUS","매드레오몬","성숙기","24시간","","","","","","","",""
"레베몬 EX🚧","가지몬","성장기","VIRUS","더스크몬","성숙기","24시간","1300","10","48","","","","",""
"레베몬 EX🚧","레베몬","성숙기","FREE","카이저레오몬","완전체","36시간","","","","","","","",""
"레베몬 EX🚧","레베몬","성숙기","FREE","라이히몬","완전체","36시간","","","","","","","",""
"레베몬 EX🚧","라이아몬","성숙기","VACCINE","카이저레오몬","완전체","36시간","","","","","","","",""
"레베몬 EX🚧","라이아몬","성숙기","VACCINE","로더레오몬","완전체","36시간","","","","","","","",""
"레베몬 EX🚧","매드레오몬","성숙기","VIRUS","로더레오몬","완전체","36시간","","","","","","","",""
"레베몬 EX🚧","매드레오몬","성숙기","VIRUS","스컬사탄몬","완전체","36시간","","","","","","","",""
"레베몬 EX🚧","더스크몬","성숙기","FREE","베르그몬","완전체","36시간","3000","12","120","70%","","","",""
"레베몬 EX🚧","더스크몬","성숙기","FREE","스컬사탄몬","완전체","36시간","","","","","","","",""
"레베몬 EX🚧","카이저레오몬","완전체","FREE","샤벨레오몬","궁극체","48시간","","","","","","","",""
"레베몬 EX🚧","카이저레오몬","완전체","FREE","에이션트스핑크스몬","궁극체","48시간","","","","","","","",""
"레베몬 EX🚧","로더레오몬","완전체","VACCINE","샤벨레오몬","궁극체","48시간","","","","","","","",""
"레베몬 EX🚧","로더레오몬","완전체","VACCINE","에이션트스핑크스몬","궁극체","48시간","","","","","","","",""
"레베몬 EX🚧","라이히몬","완전체","FREE","에이션트스핑크스몬","궁극체","48시간","","","","","","","",""
"레베몬 EX🚧","라이히몬","완전체","FREE","다이노타이거몬","궁극체","48시간","","","","","","","",""
"레베몬 EX🚧","베르그몬","완전체","FREE","다이노타이거몬","궁극체","48시간","","","","","","","",""
"레베몬 EX🚧","베르그몬","완전체","FREE","데스몬","궁극체","48시간","","","","","","","",""
"레베몬 EX🚧","스컬사탄몬","완전체","VIRUS","데스몬","궁극체","48시간","","","","","","","",""
"레베몬 EX🚧","스컬사탄몬","완전체","VIRUS","다이노타이거몬","궁극체","48시간","","","","","","","",""
"허밋 인 더 정글(팔몬)","라일라몬","완전체","DATA","히드라몬","궁극체","48시간","7000","20","200","70%","던전 ★★★","-","-",""
"루도몬🚧","코츠코몬 알","디지타마","VACCINE","코츠코몬","유년기 I","1시간","","","","","-","-","-",""
"루도몬🚧","코츠코몬","유년기 I","VACCINE","캇킨몬","유년기 II","1시간","","","","","-","-","-",""
"루도몬🚧","캇킨몬","유년기 II","VACCINE","루도몬","성장기","1시간","","","","","-","-","-",""
"루도몬🚧","캇킨몬","유년기 II","VACCINE","코만드라몬","성장기","1시간","","","","","-","-","-",""
"루도몬🚧","루도몬","성장기","DATA","티아루도몬","성숙기","24시간","1300","10","48","","","","",""
"루도몬🚧","루도몬","성장기","DATA","실즈드라몬","성숙기","24시간","900","8","30","","","","",""
"루도몬🚧","루도몬","성장기","DATA","델타몬","성숙기","24시간","","","","","","","",""
"루도몬🚧","코만드라몬","성장기","VIRUS","실즈드라몬","성숙기","24시간","900","8","30","","","","",""
"루도몬🚧","코만드라몬","성장기","VIRUS","델타몬","성숙기","24시간","","","","","","","",""
"루도몬🚧","코만드라몬","성장기","VIRUS","하이코만드라몬","성숙기","24시간","1300","10","48","","","","",""
"루도몬🚧","티아루도몬","성숙기","DATA","라이지루도몬","완전체","36시간","3000","12","120","70%","","","",""
"루도몬🚧","티아루도몬","성숙기","DATA","디지타몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"루도몬🚧","라이지루도몬","완전체","DATA","브리웨루드라몬","궁극체","48시간","5000","20","160","70%","","","",""
"루도몬🚧","브리웨루드라몬","궁극체","DATA","라그나로드몬","초궁극체","-","8000","30","320","70%","-","브리웨루드라몬,듀란다몬","-",""
"루도몬🚧","실즈드라몬","성숙기","VIRUS","라이지루도몬","완전체","36시간","3000","12","120","70%","","","",""
"루도몬🚧","실즈드라몬","성숙기","VIRUS","카고드라몬","완전체","36시간","","","","","","","",""
"루도몬🚧","실즈드라몬","성숙기","VIRUS","만티코어몬","완전체","36시간","2000","8","80","50%","","","",""
"루도몬🚧","델타몬","성숙기","VIRUS","디지타몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"루도몬🚧","델타몬","성숙기","VIRUS","만티코어몬","완전체","36시간","2000","8","80","50%","","","",""
"루도몬🚧","델타몬","성숙기","VIRUS","탱크드라몬","완전체","36시간","3000","12","120","70%","","","",""
"루도몬🚧","카고드라몬","완전체","VIRUS","브리웨루드라몬","궁극체","48시간","5000","20","160","70%","","","",""
